words,person,entertain,disease,singers,books,politician,athletes,actor_m,actor_f
게임,,김솔이,,김동현 (1998년),,윤한홍,조계현,윤박,송수영 (배우)
몽골,,오한아름,,김동현 (1999년),,윤호중,조규수,김해준 (배우),김혜준
건대,,편강윤,,김만준,,윤후덕,조승수,유지용,송다은 (배우)
석사,,황인선,,김명곤 (음악가),,이개호,조현근,현성 (배우),이민지 (1988년)
이문식,,최은빈,,김명성 (가수),,이군현,지승민,이해영 (1970년),유하나
체보,,박민지,,김명철 (가수),,이규희,진야곱,강득종,전인화
후두종,,허찬미,,김명훈 (가수),,이동섭,진필중,백재진,이채빈
민병헌,,김보선,,김무영 (1987년),,이만희,장성진,국지용,조시내
맥주,,이채린,,김민교 (가수),,이명수,전형도,조정석,하은채
돌연사,,임경하,,김민규 (2001년),,이상돈,잭 러츠,서정욱 (배우),김규리 (2008년)
인사이트,,황세영,,김민기 (가수),,이상헌,차명주,이봉규 (배우),박해미
팟타이,,한지연,,김민석 (가수),,이석현,채상병,이정성,양승은
가세연,,황수연,,김민수 (가수),,이수혁,최기문,이인성 (배우),이미은
이용호,,응씨카이,,김민우 (가수),,이양수,최승환,지성 (2000년),송유안
스피커,,윤유담,,김민종,,이용주,최용호,하지승,이소미
인종차별,,김하윤,,김바다,,이원욱,최일언,이설구,박지예
프라푸치노,,니와시오리,,김범룡,,이은권,최훈재,장문규,김난휘
군산,,김자연,,김범수 (가수),,이은재,최동창,백승훈 (배우),류이재
지승현,,방탄소년단,,김보성 (가수),,이인영,추성건,강현중 (배우),이휘향
전영현,,유병재,,김봉곤,,이장우,빅터 콜,도균,고다연
미이라,,김광규,,김부용,,이재정,마크 키퍼,차승호,이정민 (1989년)
성경,,사이먼도미닉,,김사랑 (가수),,이정현,호르헤 칸투,한기중,이예나
유산,,엄지원,,김상국 (가수),,이종걸,호세 페르난데스,김관수 (배우),이채원 (1989년)
레이저,,기안84,,김상돈 (가수),,이종구,지미 파레디스,최진호 (배우),임소영
요르단,,나르샤,,김상배,,이종명,스콧 프록터,양승필,정혜선
백두산,,배두나,,김상범 (가수),,이종배,한대화,박선준 (1979년),서혜린 (배우)
사진관,,염정아,,김상진 (1954년),,이주영,함석원,김준원 (배우),지수 (가수)
바이두,,천우희,,김상혁,,이진복,데릭 핸킨스,문우진,조수향
헝의회,,심은경,,김성리,,이찬열,홍성흔,이창직,박서휘
네일아트,,라미란,,김성민 (1979년),,이채익,홍원기,설정환,이가원 (배우)
악몽,,고두심,,김성수 (가수),,이철규,황기선,지영우,김미화 (1974년)
명절,,정일우,,김성욱 (가수),,이철우,황태환,정경호 (1983년),윤다영
로버츠,,도경완,,김성필,,이철희,켈빈 히메네스,이광수 (배우),성정선
오류동,,정동하,,김성호 (가수),,이춘석,황일권,이승현 (1986년),한보배
오므라이스,,이상우,,김성환 (1950년),,이학영,양의지,이정식 (배우),박가령
바이든정부,,진기주,,김세영 (가수),,이학재,DJ 피터스,이국호 (배우),오주은
장조림,,이날치,,김세헌,,노무현,가득염,최수한,비류 (배우)
집배원,,이선희,,김세환 (가수),,이해찬,카림 가르시아,김선은,이자영
양묘장,,홍진경,,김수근 (배우),,이헌승,존 갈,곽인준,신주아
교복,,,,김수찬 (가수),,이현재,강대호 ,김강훈,서혜진
송승준,,,,김수철 (가수),,이후삼,강동호,조진웅,유혜인
효자,,,,김승진 (가수),,이훈,강로한,최태환 (1989년),김수연 (1981년)
발코니,,,,김승호,,인재근,강민영,김권,김주령
핵분열,,,,김시영,,임이자,강민호,정두겸,한해림
동서남북,,,,김신우,,임재훈,강상수,장세현,정지윤 (배우)
금요일,,,,김신의 (가수),,임종성,강성우,이바울,은희수
아토,,,,김알음,,장병완,강승현,이기혁 (배우),김민희 (1982년)
싱글,,,,김연우,,장석춘,강영식,도기석,이화시
라식,,,,김영근 (가수),,장정숙,강윤구,서종철 (배우),김주영 (배우)
동행,,,,김영배 (배우),,전해철,강진규,전진우 (배우),안해숙
어린이대공원,,,,김영석 (음악가),,전현희,강태율,홍정호 (배우),손비야
민호,,,,김영우 (1978년),,전혜숙,강필선,황성웅 (1994년),이예선
넷마블,,,,김영호 (배우),,전희경,고노 준키,미석 (배우),김세인 (1983년)
진갑용,,,,김예현,,정갑윤,고도현,양지수,오은호
정신과,,,,김완제,,정동영,고승민,서지원 (1993년),김소은
수영,,,,김요한 (가수),,정병국,고정식,윤찬 (1996년),김하린
머드,,,,김용만 (가수),,정양석,고효준,노치만,서리나
금융권,,,,김용빈 (가수),,정용기,공필성,서지원 (배우),윤아정
오빈,,,,김용진 (가수),,정운천,곽주섭,김선호 (배우),박선임
출산,,,,김우경 (가수),,정유섭,구승민,김남길,신지수
국회,,,,김우석 (가수),,정은혜,권두조,한종훈,장햇살
용마산,,,,김우주,,정인화,권민성,김영택 (배우),엄유신
길원옥,,,,김원주 (가수),,정재호,권영준,서범준,예지원
어린아이,,,,김원준,,정점식,권오현,최윤준,김보리
자격증,,,,김윤일,,정종섭,글렌 스파크맨,정일우,오승은 (배우)
냉장고,,,,김윤호 (가수),,정진석,김강현,추민기,박사랑 (배우)
우동,,,,김장수 (가수),,정춘숙,김건국,이성재 (배우),홍지희
탤런트,,,,김장훈,,정태옥,김경환,김현기 (1971년),오혜원 (배우)
바텐더,,,,김재구 (가수),,제윤경,김대륙,변우종,김영선 (1971년)
박우성,,,,김재기,,조경태,김대우,이승기,하시연
독감,,,,김재록,,조배숙,김대익,강찬 (배우),이시우 (1997년)
박찬호,,,,김재용 (배우),,조승래,김도규,강지우 (1979년),이지완 (2000년)
윤민향,,,,김재우 (희극인),,조응천,김동우,송동환 (배우),배우희
박성현,,,,김재중,,조정식,김동한,유건 (배우),권은빈
무더위,,,,김재현 (가수),,조훈현,김명성,이충주,원진아
까르띠에,,,,김재환 (가수),,주광덕,김문호,김문식,박소담
군형법,,,,김재희,,주승용,김문희,강신형,윤진서
현금,,,,김재희 (1971년),,채이배,김민성,조선기,오은별
보라스,,,,김정구 (가수),,최교일,김민수,백종민,이하은 (1998년)
레킹볼,,,,김정민 (1968년),,최도자,김민재,홍인 (배우),수영 (1990년)
라자냐,,,,김정수 (가수),,최명길,김민하,이동영 (1986년),손정민
소매물도,,,,김정현 (가수),,최연혜,김민호 ,최서후,정인혜
네이버페이,,,,김정호 (가수),,최운열,김사율,윤종원 (배우),남보라
손나은,,,,김정훈 (1980년),,최재성,김사훈,주진모 (1974년),김민주 (배우)
발레리노,,,,김종국 (가수),,추경호,김상우,사무엘 강,이가현
리사수,,,,김종민,,추혜선,김상현 ,신재하,솔림
중화,,,,김종서 (가수),,한정애,김석일,이희준,전민서
아보카도,,,,김종석 (배우),,함진규,김선일,고병완,서예선
모닝빵,,,,김종수 (가수),,허윤정,김성관,유연석,이슬아 (1987년)
낙태죄,,,,김종완 (음악가),,홍문종,김성재,정의욱,윤아
다뉴브,,,,김종욱,,홍문표,김성현,박유환,김옥빈
피서객,,,,김종진 (가수),,홍의락,김성호,병헌,전성애
재난지원금,,,,김종찬 (가수),,홍일표,김수완,최제헌,권연우
슬기,,,,김종환 (가수),,홍철호,김수화,이준기,조윤희
녹농균,,,,김주현 (희극인),,황영철,김승관,이지형 (배우),김용선 (배우)
선처,,,,김준 (배우),,황주홍,김승회,김재영 (배우),황민영
김준교,,,,김준서 (가수),,황희,김시진,남주혁,황우슬혜
안재욱,,,,김준선,,강기윤,김영수,최동엽,서이숙
부평,,,,김준수 (가수),,강대식,김용운,주민진 (배우),연수진
한게임,,,,김준수 (국악인),,강득구,김용철,허선행 (배우),양현영
미러링,,,,김준한,,강민정,김용희,인교진,현숙희
거위,,,,김중배 (가수),,강선우,김원중,이재성 (배우),박수인
정환,,,,김중연,,강은미,김유신,안태영 (배우),송재윤
가로등,,,,김중우,,강준현,김유영,차광수 (배우),안서현
한진그룹,,,,김지민 (가수),,고영인,김응국,배지환,유혜영 (배우)
정경심,,,,김지범,,구자근,김이슬 (야구인),김규진 (배우),송보은
배용제,,,,김지수 (가수),,권명호,김인철 (1971년),김정호 (배우),한다은
운전기사,,,,김지훈 (가수),,권영세,김인호 (야구인),박성웅,서미영
현대인,,,,김진 (배우),,김경만,김일엽 (야구 선수),김정학 (배우),조이진
감옥,,,,김진규 (배우),,김교흥,김일환 (야구 선수),최성원 (배우),김미숙 (배우)
배정대,,,,김진엽,,김기현,김장현 (야구인),차지욱,서지혜 (1996년)
임신부,,,,김진우 (가수),,김남국,김재상,양진우,차영옥
헤일로,,,,김진우 (배우),,김미애,김재상 (야구 선수),최우성,육소영
고구마,,,,김진호 (가수),,김민철,김재열 (1996년),이상운 (배우),박규영
조류인플루엔자,,,,김진환 (가수),,김병주,김재열 (야구인),이호성 (배우),서영희 (배우)
애프터스쿨,,,,김창기 (가수),,김선교,김재유,김희원 (배우),이주연 (1994년)
니트,,,,김창남,,김성주,김정수 (1953년),주원성,최수진 (1986년)
연예인,,,,김창열 (가수),,김수흥,김정행,지건우,박예영
상도,,,,김창완,,김승남,김종석 (1964년),영재 (1994년),문예원
공매도,,,,김창훈 (가수),,김승수,김종헌,이재윤 (배우),김민서 (2006년)
양양,,,,김채희,,김승원,김종훈 (1972년),정병철,조영지
알바생,,,,김추련,,김영배,김주찬,류한홍,천소라
에픽게임즈,,,,김충훈,,김영식,김주현 (1988년),전주우,김시아
피쏘,,,,김태영 (1973년),,김예지,김주현 (1993년),김성훈 (배우),서민서
황사,,,,김태우 (1970년),,김용판,김준태 (야구 선수),서준열,정시아
베어스,,,,김태우 (1981년),,김원이,김지수 (1996년),박영수 (배우),윤진이
판교,,,,김태원 (음악인),,김윤덕,김진수 (야구인),여진구,조수하
좋니,,,,김태현 (가수),,김은혜,김진욱 (2002년),엄기준,황하나
딜레마,,,,김태형 (1962년),,김주영,김창훈 (2001년),구승현,김미라
정의연,,,,김태화,,김진애,김청수,송태윤,이주연 (2002년)
전고운,,,,김필 (가수),,김태호,김태균 (1971년),서태화,민아령
애플렉,,,,김학규 (가수),,김형동,김태석 (1967년),이건영 (배우),고원희
실리콘밸리,,,,김학도 (희극인),,김홍걸,김태우 (1985년),김영광 (배우),김규리 (1979년 8월)
진성준,,,,김학래 (가수),,김회재,김태형 (1972년),이예춘,정예진
중학생,,,,김학준 (개그맨),,김희곤,김한조,진선규,장주연
채은성,,,,김한일 (가수),,김희국,김현민 (1973년),이강복,김유현
니온,,,,김해일,,류성걸,김현수 (2000년생 야구 선수),이정행 (배우),제이니
돼지껍데기,,,,김혁건,,문정복,김현우 (2000년),오안진,한희정 (배우)
저승사자,,,,김현성 (가수),,문진석,김휘곤,문지홍,강우경
백운규,,,,김현중,,민병덕,나경민 (야구인),왕시명,이설희
디지털미디어시티,,,,김현철 (가수),,민형배,나광호,조승우,임도윤
최종훈,,,,김형규 (1976년),,박대수,나균안,김윤형,지혜인
김정호,,,,김형섭 (가수),,박상혁,나승엽,요엘 리,온조 (배우)
해수욕,,,,김형용,,박성민,나승현,고규필,서은아
성우,,,,김형준 (1987년),,박수영,나원탁,문정웅,최성희 (배우)
올리브영,,,,김형중,,박영순,노상수,황상경,김소린
포도씨,,,,김형철 (가수),,박진,노승욱,오성열,심민
더룸,,,,김홍조,,박형수,노장진,황재원 (배우),최지원 (2007년)
배우자,,,,김화수,,배준영,닉 애디튼,조휘 (배우),은서율
시골경찰,,,,김환성,,배진교,댄 스트레일리,이규한 (배우),서은수
내장탕,,,,김흥국,,백종헌,덕 브래디,신재훈 (1981년),천우희
도자기,,,,김희재 (가수),,서동용,딕슨 마차도,채동현,이나은 (가수)
백악관,,,,김희철 (가수),,서범수,브룩스 레일리,박충선,한설아
한승택,,,,깜악귀,,서영석,조쉬 린드블럼,김영용,박지원 (1982년)
쏘카,,,,나광진,,서일준,마해영,지창욱,이혜인 (배우)
테러범,,,,나들 (가수),,서정숙,대니얼 매기,정대훈 (배우),정미영
뭉크,,,,나상도,,소병철,마티 매클러리,변정현 (배우),채소영
순두부찌개,,,,나얼,,송재호,문경찬,조혜훈,한애경
월롱,,,,나윤권,,신영대,문규현 (야구인),이선균,안선영
맥크리,,,,나잠 수,,신원식,문동욱,김상우 (배우),이태란
통신비,,,,나준하,,신정훈,문동환 (야구인),백민 (1965년),권기선
쇼미더,,,,나훈아,,신현영,문양식,이이경,김수인
